"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","289","Delete exercise","LMS service","Mon Aug 18 18:35:36 UTC 2025","passed","Mon Aug 18 18:35:36 UTC 2025","Delete entity","Exercises","",""
"","29","Get courses","LMS service","Mon Aug 18 18:35:33 UTC 2025","passed","Mon Aug 18 18:35:33 UTC 2025","Get entities","Courses","",""
"","562","Login with correct email and password","LMS service","Mon Aug 18 18:35:32 UTC 2025","passed","Mon Aug 18 18:35:32 UTC 2025","Login","Authentication","",""
"","266","Create file with empty filename","LMS service","Mon Aug 18 18:35:38 UTC 2025","passed","Mon Aug 18 18:35:38 UTC 2025","Validate entity","Files","",""
"","289","Update exercise","LMS service","Mon Aug 18 18:35:35 UTC 2025","passed","Mon Aug 18 18:35:35 UTC 2025","Update entity","Exercises","",""
"","30","Create course","LMS service","Mon Aug 18 18:35:34 UTC 2025","passed","Mon Aug 18 18:35:34 UTC 2025","Create entity","Courses","",""
"","263","Get file with incorrect file id","LMS service","Mon Aug 18 18:35:40 UTC 2025","passed","Mon Aug 18 18:35:40 UTC 2025","Validate entity","Files","",""
"","266","Create file with empty directory","LMS service","Mon Aug 18 18:35:39 UTC 2025","passed","Mon Aug 18 18:35:39 UTC 2025","Validate entity","Files","",""
"","262","Create file","LMS service","Mon Aug 18 18:35:37 UTC 2025","passed","Mon Aug 18 18:35:37 UTC 2025","Create entity","Files","",""
"","12","Get file","LMS service","Mon Aug 18 18:35:38 UTC 2025","passed","Mon Aug 18 18:35:38 UTC 2025","Get entity","Files","",""
"","22","Get exercise","LMS service","Mon Aug 18 18:35:36 UTC 2025","passed","Mon Aug 18 18:35:36 UTC 2025","Get entity","Exercises","",""
"","557","Create user","LMS service","Mon Aug 18 18:35:40 UTC 2025","passed","Mon Aug 18 18:35:41 UTC 2025","Create entity","Users","",""
"","528","Create user","LMS service","Mon Aug 18 18:35:40 UTC 2025","passed","Mon Aug 18 18:35:40 UTC 2025","Create entity","Users","",""
"","305","Update course","LMS service","Mon Aug 18 18:35:32 UTC 2025","passed","Mon Aug 18 18:35:33 UTC 2025","Update entity","Courses","",""
"","23","Delete file","LMS service","Mon Aug 18 18:35:40 UTC 2025","passed","Mon Aug 18 18:35:40 UTC 2025","Delete entity","Files","",""
"","287","Create user","LMS service","Mon Aug 18 18:35:40 UTC 2025","passed","Mon Aug 18 18:35:41 UTC 2025","Create entity","Users","",""
"","26","Create exercise","LMS service","Mon Aug 18 18:35:34 UTC 2025","passed","Mon Aug 18 18:35:34 UTC 2025","Create entity","Exercises","",""
"","12","Get user me","LMS service","Mon Aug 18 18:35:41 UTC 2025","passed","Mon Aug 18 18:35:41 UTC 2025","Get entity","Users","",""
"","25","Get exercises","LMS service","Mon Aug 18 18:35:37 UTC 2025","passed","Mon Aug 18 18:35:37 UTC 2025","Get entities","Exercises","",""
